type,a,b,result,display,tts_vi,level
missing_result,1,1,1,1 × 1 = ?,1 nhân 1 bằng bao nhiêu?,basic
missing_left,1,1,1,? × 1 = 1,Bao nhiêu nhân 1 bằng 1?,basic
missing_right,1,1,1,1 × ? = 1,1 nhân bao nhiêu bằng 1?,basic
missing_result,1,2,2,1 × 2 = ?,1 nhân 2 bằng bao nhiêu?,basic
missing_left,1,2,2,? × 2 = 2,Bao nhiêu nhân 2 bằng 2?,basic
missing_right,1,2,2,1 × ? = 2,1 nhân bao nhiêu bằng 2?,basic
missing_result,1,3,3,1 × 3 = ?,1 nhân 3 bằng bao nhiêu?,basic
missing_left,1,3,3,? × 3 = 3,Bao nhiêu nhân 3 bằng 3?,basic
missing_right,1,3,3,1 × ? = 3,1 nhân bao nhiêu bằng 3?,basic
missing_result,1,4,4,1 × 4 = ?,1 nhân 4 bằng bao nhiêu?,basic
missing_left,1,4,4,? × 4 = 4,Bao nhiêu nhân 4 bằng 4?,basic
missing_right,1,4,4,1 × ? = 4,1 nhân bao nhiêu bằng 4?,basic
missing_result,1,5,5,1 × 5 = ?,1 nhân 5 bằng bao nhiêu?,basic
missing_left,1,5,5,? × 5 = 5,Bao nhiêu nhân 5 bằng 5?,basic
missing_right,1,5,5,1 × ? = 5,1 nhân bao nhiêu bằng 5?,basic
missing_result,1,6,6,1 × 6 = ?,1 nhân 6 bằng bao nhiêu?,basic
missing_left,1,6,6,? × 6 = 6,Bao nhiêu nhân 6 bằng 6?,basic
missing_right,1,6,6,1 × ? = 6,1 nhân bao nhiêu bằng 6?,basic
missing_result,1,7,7,1 × 7 = ?,1 nhân 7 bằng bao nhiêu?,basic
missing_left,1,7,7,? × 7 = 7,Bao nhiêu nhân 7 bằng 7?,basic
missing_right,1,7,7,1 × ? = 7,1 nhân bao nhiêu bằng 7?,basic
missing_result,1,8,8,1 × 8 = ?,1 nhân 8 bằng bao nhiêu?,basic
missing_left,1,8,8,? × 8 = 8,Bao nhiêu nhân 8 bằng 8?,basic
missing_right,1,8,8,1 × ? = 8,1 nhân bao nhiêu bằng 8?,basic
missing_result,1,9,9,1 × 9 = ?,1 nhân 9 bằng bao nhiêu?,basic
missing_left,1,9,9,? × 9 = 9,Bao nhiêu nhân 9 bằng 9?,basic
missing_right,1,9,9,1 × ? = 9,1 nhân bao nhiêu bằng 9?,basic
missing_result,2,1,2,2 × 1 = ?,2 nhân 1 bằng bao nhiêu?,basic
missing_left,2,1,2,? × 1 = 2,Bao nhiêu nhân 1 bằng 2?,basic
missing_right,2,1,2,2 × ? = 2,2 nhân bao nhiêu bằng 2?,basic
missing_result,2,2,4,2 × 2 = ?,2 nhân 2 bằng bao nhiêu?,basic
missing_left,2,2,4,? × 2 = 4,Bao nhiêu nhân 2 bằng 4?,basic
missing_right,2,2,4,2 × ? = 4,2 nhân bao nhiêu bằng 4?,basic
missing_result,2,3,6,2 × 3 = ?,2 nhân 3 bằng bao nhiêu?,basic
